year,quarter,number_of_articles,frontpage,page1to3,avg_n_articles_per_day,avg_n_pages_per_day,avg_n_frontpage_articles_per_day,avg_n_of_word_seg_in_title,min_n_of_word_seg_in_title,max_n_of_word_seg_in_title,avg_n_of_word_seg_in_body,min_n_of_word_seg_in_body,max_n_of_word_seg_in_body
1946,2,1071,0.5032679738562091,0.9953314659197012,25.018674136321195,2.0709617180205417,12.477124183006536,24.649859943977592,2,73,614.3837535014005,7,5880
1946,3,2156,0.5213358070500927,0.9666048237476809,25.628014842300555,2.207792207792208,12.826066790352504,23.698979591836736,2,72,700.8075139146567,8,5342
1946,4,2727,0.4407774110744408,0.9347268060139348,31.53905390539054,2.541987532086542,13.136413641364136,23.231023102310232,2,86,623.067106710671,11,5279
1947,1,2871,0.3437826541274817,0.8871473354231975,37.54197143852316,3.0247300592128177,11.539881574364333,21.48833159177987,1,81,662.8571926158133,0,8311
1947,2,2768,0.36054913294797686,0.9263005780346821,34.14089595375722,2.856936416184971,11.134031791907514,18.89342485549133,2,54,696.4902456647399,6,5868
1947,3,2685,0.40186219739292367,0.9340782122905028,32.50465549348231,2.844692737430168,12.210428305400372,19.12364990689013,2,78,764.96052141527,12,7468
1947,4,2449,0.39608003266639447,0.9477337688852593,28.641486320947326,2.6696610861576153,10.667211106574111,20.616986525112292,2,64,781.2547978766844,25,6714
1948,1,1825,0.4104109589041096,1,21.66191780821918,2.0126027397260273,8.92054794520548,19.844931506849314,2,88,804.7654794520548,32,14970
1948,2,2081,0.4103796251802018,0.9726093224411341,23.715040845747236,2.200864968765017,9.58289283998078,20.326285439692455,2,60,792.5040845747237,32,7726
1948,3,2030,0.4330049261083744,0.9955665024630542,23.004926108374384,2.0305418719211823,9.858620689655172,20.75960591133005,2,68,760.7605911330049,35,9492
1948,4,2310,0.3484848484848485,0.9294372294372294,27.245887445887448,3.0493506493506493,8.72987012987013,20.513419913419913,2,61,931.4090909090909,9,19040
1949,1,3722,0.24019344438473939,0.8406770553465879,43.929070392262226,4,10.538688876947878,19.27485222998388,1,74,799.5526598602902,0,7901
1949,2,5296,0.277190332326284,0.8834969788519638,60.03361027190332,4.11631419939577,16.6404833836858,19.119712990936556,2,75,686.8693353474321,4,32412
1949,3,4901,0.2393389104264436,0.6451744541930219,56.386247704550094,6.048153438073863,13.152213833911446,22.48337074066517,1,85,940.1048765558049,0,26788
1949,4,5050,0.22435643564356436,0.62,57.19128712871287,6.1603960396039605,12.634059405940594,23.065544554455446,2,97,1003.1689108910891,3,24141
1950,1,4794,0.22006675010429705,0.5634125990821861,56.5627868168544,5.934084272006675,12.377972465581978,24.831664580725906,2,85,900.043387567793,2,14563
1950,2,5469,0.18376302797586397,0.6030352898153227,62.171329310660084,5.427683305906016,11.378496982995063,23.084293289449626,2,263,862.5050283415616,2,16452
1950,3,5445,0.1849403122130395,0.5685950413223141,60.84279155188246,6.69880624426079,11.12929292929293,24.447382920110194,2,77,998.9171717171718,5,30835
1950,4,4432,0.20284296028880866,0.5810018050541517,49.888086642599276,6.366877256317689,9.944268953068592,24.738492779783392,1,91,1159.057084837545,4,25314
1951,1,3531,0.25261965448881335,0.6791277258566978,41.970829793259696,4.685641461342396,10.29028603794959,21.327386009629,1,73,1208.7737184933446,0,12171
1951,2,3928,0.24618126272912425,0.6527494908350305,45.64154786150713,4.917006109979633,11.067209775967413,23.298625254582486,1,81,1101.841649694501,0,23537
1951,3,3427,0.29063320688648964,0.6950685730960023,38.58856142398599,4.498395097753137,11.094543332360665,24.268456375838927,2,95,1252.7989495185293,0,73645
1951,4,3595,0.2737134909596662,0.7285118219749652,40.878720445062584,4.3649513212795545,10.946870653685675,25.1115438108484,2,83,1143.4675938803894,5,28992
1952,1,3392,0.26297169811320753,0.72051886792452835,40.18396226415094,4.464033018867925,10.272700471698114,26.009139150943398,2,85,1184.5919811320755,9,38492
1952,2,3433,0.2819691232158462,0.7203612001165162,39.61695310224294,4.309059131954559,10.812117681328285,23.86076318089135,2,95,1176.6851150597145,11,27861
1952,3,3634,0.3076499724821134,0.7118877270225646,41.072096862960926,4.362685745734727,12.430654925701706,20.820583379196478,2,103,1166.9025866813429,6,36588
1952,4,2929,0.29429839535677704,0.7261864117446227,33.36736087401844,4.427449641515876,9.522021167634005,22.471833390235574,2,89,1498.0580402867872,12,34452
1953,1,3008,0.2839095744680851,0.7121010638297872,36.69015957446808,4.412566489361702,9.913896276595745,21.74434840425532,2,75,1327.3400930851064,7,14543
1953,2,3299,0.2997878144892392,0.684449833282813,37.70627462867536,4.320096999090634,11.201273113064564,22.074264928766294,2,68,1276.726886935435,8,16548
1953,3,3341,0.2888356779407363,0.6964980544747081,37.30170607602514,4.413349296617779,10.655193055971266,23.113439090092786,2,67,1310.7485782699791,4,50332
1953,4,3156,0.2696451204055767,0.7008871989860583,35.6723700887199,4.466413181242078,9.455006337135615,23.03105196451204,2,87,1390.6007604562737,12,29465
1954,1,3117,0.27462303496952195,0.7144690407443054,36.71318575553417,4.35097850497273,9.90920757138274,22.521976259223614,1,79,1305.200513314084,3,23601
1954,2,3569,0.2922387223311852,0.730736901092743,40.79434015130288,4.372653404314934,11.786494816475203,20.857102829924347,2,77,1146.6124964976184,9,13760
1954,3,3638,0.2954920285871358,0.6948873007146784,41.77020340846619,4.427982407916438,11.88894997251237,22.190214403518418,1,73,1163.8342495876855,9,40972
1954,4,3661,0.2982791586998088,0.714558863698443,42.306200491668946,4.245834471455886,12.239825184375853,20.045342802512973,2,65,1129.0742966402622,5,27762
1955,1,3815,0.3058977719528178,0.6977719528178243,44.34941022280472,4.355439056356488,13.284665792922674,18.670773263433812,1,71,1086.1129750982961,8,29355
1955,2,4050,0.2965432098765432,0.6795061728395062,46.900740740740744,4.478518518518518,13.61679012345679,17.371358024691357,2,69,1067.2896296296296,10,25984
1955,3,3755,0.3019973368841545,0.618109187749667,43.311051930758985,4.5805592543275635,12.671105193075899,18.909454061251665,2,92,1220.5747003994675,8,56531
1955,4,4005,0.2786516853932584,0.6556803995006242,45.324594257178525,4.466916354556804,12.462421972534331,17.659425717852685,2,88,1056.468913857678,8,17274
1956,1,4008,0.27020958083832336,0.6369760479041916,47.28443113772455,5.07684630738523,12.390968063872256,14.9875249500998,2,77,994.4653193612775,8,81882
1956,2,4401,0.24812542603953647,0.6273574187684617,50.57009770506703,4.6462167689161555,12.276982503976368,16.956146330379458,2,73,833.6475800954329,5,18581
1956,3,7945,0.1263687853996224,0.4061674008810573,91.26356198867212,7.982882315921963,11.225424795468848,17.432850849590938,1,83,786.8307111390811,2,44742
1956,4,7525,0.12637873754152823,0.42564784053156146,83.46511627906976,8,10.511229235880398,18.89514950166113,1,99,845.9972093023256,3,31879
1957,1,7007,0.12772941344369915,0.3931782503211075,80.49193663479377,8.412159269302126,10.04652490366776,19.463251034679605,1,95,932.4215784215784,8,21807
1957,2,5641,0.14341428824676475,0.3809608225491934,66.75252614784613,7.6642439283814925,9.20723276014891,19.24587839035632,1,124,1001.5172841694734,5,34914
1957,3,6309,0.11459819305753685,0.3238231098430813,70.95878903154224,8.441908384847045,7.887779362815026,20.115549215406563,1,102,1064.3452211126962,4,24553
